,rating,parent_asin,pos_neg,tot_text
0,5,B09M6X79V9,1,Just what I was looking for Loved the tank tops
1,5,B07BM9GWG7,1,Accurate description. Great product.
2,5,B09MJ6NSNM,1,"Better than I expected Love the fit, great product"
3,4,B0B16Q1854,1,Perfect Comfy
4,5,B0928FSGGD,1,Very comfortable! These shirts are long enough in the sleeves and right without being overly constricting.
5,5,B07S8KMCQW,1,Exactly what I needed for a gym shirt Bought this to wear to the gym. It fit as expected and held up well after washing. No shrinking after drying and the material is good. I’d buy another if I need more in the future.
6,5,B08F1V3KB9,1,The best joggers My new favorite pants!!! ordering more right now!!!
7,5,B09H6MXJ71,1,I like'em Nice!!
8,5,B07BM9GWG7,1,Why ever spend more??? Great value and very comfortable.
9,5,B07S8KMCQW,1,Great find and good price! I have this shirt in purple and black and will definitely be ordering more. It’s so soft. The material is breathable and the slides aren’t too deep.
10,5,B09M6X79V9,1,Pleased Perfect fit
11,5,B09KHSM7BB,1,Five Stars great for my man under his jacket for work!
12,5,B084LJ5ZJ5,1,Comfort This is a very soft and comfortable hoodie.  The color makes it even better.
13,4,B09KHSM7BB,1,How warm it is Yes like it and it's very well made amd warm material
14,5,B09H6MXJ71,1,Perfect Good Quality....
15,5,B09M6X79V9,1,Fit perfectly Very happy
16,5,B09H6MXJ71,1,Great tanks. Very light weight and perfect fit.
17,5,B076QD9NP1,1,"Fits perfect, great quality, super soft! Very good quality. This is my daughters 4th Jxstar dress. She LOVES LOVES LOVES THEM!<br />She is 4 years old, 41 pounds and 44 inches tall and I ordered her the 6-7 and it fits perfectly."
18,5,B07CQ84KLT,1,It is a good fit I love the fit! Very flattering.
19,5,B08F1V3KB9,1,Very cute pants Perfect and silky soft! Usually a 16/18W and the XL fits great.
20,4,B097RFTKJP,1,Looks just like the pic! I recommend!
21,5,B009R09Z8W,1,Five Stars Great tie dye.  It was for my grandson.  He loved it.
22,4,B097RFTKJP,1,"Almost great I took my measurements in order to get the right fit, but it still was a little off. I love the dress, however, so I will keep it and a couple of alterations to make it fit. I'll have to take in the hips... my waist is thicker, so apparently I am also supposed to have a pair of formidable hips to match. I don't. I will also the have to do a couple of small darts to lessen the gaping armhole areas. When that iui s done, though, the dress will be perfect!"
23,4,B09H6MXJ71,1,Great buy really comfortable to wear and keeps me cool
24,4,B076QD9NP1,1,Cute candy! A little thin but the print is adorable
25,5,B07S8KMCQW,1,Cute or multiple occasions Super cute for the gym or with a bandu underneath to go out
26,5,B0B16Q1854,1,Attractive and comfy Comfortable
