,rating,parent_asin,pos_neg,tot_text
0,5,B09M6X79V9,1,Fit great I'm a XL..I got a L to wear under t shirts for working out. ..  love them
1,5,B0B2KL8C8Q,1,"Perfect under scrubs I’ve bought these before in white or black. I decided to try the three pack of pink, lavender, and green. The pink is more of an orchid shade, which I actually like, because I wear light gray scrubs at work, and this color looks really good with the gray.<br />These tops are lightweight and snug fitting, if you order a size down. The sleeves hit me at the wrist, not too short and not too long. The length in the body is long enough to stay tucked in. I wear a medium in regular tops, and I order a small in these because I want that tight fit for layering."
2,4,B009R09Z8W,1,"Basic hoodie I've bought two of these tie-die hoodies now. An extra large which was a bit bigger than expected with quite long sleeves and a large that was long and narrow. The material is thin but a close knit so I was suitable warm in Ohio's winter. The colors are vibrant and didn't bleed when washed. I like this hoodie, it matches everything!"
3,5,B07BM9GWG7,1,Order a size down if you want more compression. Comfortable but not a corset. Wouldn’t buy if you’re looking for maximum compression. Order a size down for more compression.
4,5,B07CQ84KLT,1,It fits Super comfy 💕
5,5,B0B2KL8C8Q,1,"Very comfortable I have worn the three shirts and they were amazing. I wore one shirt under a thin dress blouse and it was very comfortable.I have worn the other two with jeans.  I will order another set so I will,have  one for each day.  I did order an extra large because it was form fitting.  I initially ordered the shirts for compression,but I am pleased even though they are not as compressed as I wanted them to be."
6,5,B09KHSM7BB,1,Five Stars Super soft and comfortably over-sized. Used for a jack frost costume and it worked perfectly
7,5,B07XD71F1H,1,"Great fit,  exactly as described The dress was as described, very nice fit!"
8,5,B09M6X79V9,1,Love these! These are GREAT tank tops.  I am 5'2&#34; / 120 pounds and I ordered size Medium.  They fit perfectly.  They are really lightweight and great fabric for sweating it out at the gym.  I would recommend these tank tops to anyone!
9,5,B09KHSM7BB,1,Right fit Nice fit
10,5,B0BVMLJTFS,1,I want it in every color! Absolutely obsessed and I want This in every color. So flattering and so comfy! It can get a little short around the ankles sometimes but I love these so much
11,5,B084LJ5ZJ5,1,Excellent- Great Price Comfy and fit true to size
12,4,B0928FSGGD,1,"Short sleeves Fits really nice on the body, great material, super flattering, BUT if you have long arms, the sleeves do run short. :("
13,5,B0928FSGGD,1,Accurate sizing Comfortable and perfect fit. I wear under my scrubs tops
14,5,B084LJ5ZJ5,1,"Best Hoodies On Amazon! I have 3 of these already and want to get these get these in every color!  The price, shipping speed, responsive customer service, the way they wash well & don’t pill/shrink & how soft they feel, I really couldn’t ask for a better hoodie situation!  The color selection for Spring is great! I’m a 5 foot female  & ordered a men’s large for that oversized cozy cover your butt & hips look.  It falls right on my upper thigh which is perfect."
15,5,B09MJ6NSNM,1,"Well made, great buy at this price For the price, you definitely get your moneys worth. If your in between sizes, choose the larger of the two."
16,5,B09M6X79V9,1,"Perfect for Spartan races I wanted some inexpensive tanks that wouldn't retain water for my Spartan races. I wore pink for my beast and blue for the sprint. I usually wear small in women's tanks but sized up to medium so they wouldn't be painted on and show every bit of mid section fluff I may have. Medium fit perfect, not baggy but not painted on, nicely fitted. They're not as soft as my good tech tops from Born Primitive, but perfect for getting wet, muddy and if it gets snagged on the barbed wire, you don't care. The mud washed out and they're good as new. Recommend for this application. I like my higher end/fancier open backed stuff for routine workouts."
17,5,B09MJ6NSNM,1,"Quality of shirt, very good Well worth the money, feels great"
18,5,B0928FSGGD,1,Great fit not hot Love these great fit and don't make me hot
19,5,B09KHSM7BB,1,Five Stars Great as usual
20,5,B09M6X79V9,1,Great material Fits just a tad bit small but not by much
21,5,B09H6MXJ71,1,"Love it Fits perfectly for a 2XL, even got asked where did I buy it from. I already ordered more 😁"
22,5,B07BM9GWG7,1,"Nice Shirt, Nice Price Great stretchy fit. Perfect length, Dries quickly. I would definitely buy again"
23,5,B07BM9GWG7,1,Excellent under shirt for winter. Will definitely purchase more.
24,5,B09M6X79V9,1,"Great product I love these tanks. They were true to size, have a nice feel to them, and were a great price. I would buy these again."
25,5,B07S8KMCQW,1,My go to workout top This is my go to gym top since it matches any pair of leggings that I have to work out in. I love this style of tops for the gym and would definitely buy again in different colors
